date,temperature,humidity,luminosity
2020-12-02 16:03:17.525,21.9,24.5,117
2020-12-02 16:03:15.248,21.9,24.5,117
2020-12-02 16:03:12.970,21.9,24.5,117
2020-12-02 16:03:10.692,21.9,24.5,117
2020-12-02 16:03:08.415,21.9,24.5,117
2020-12-02 16:03:06.133,21.9,24.5,117
2020-12-02 16:03:03.855,21.9,24.5,117
2020-12-02 16:03:01.578,21.9,24.5,117
2020-12-02 16:02:59.300,21.9,24.5,117
2020-12-02 16:02:57.022,21.9,24.5,117
2020-12-02 16:02:54.745,21.9,24.5,117
2020-12-02 16:02:52.463,21.9,24.5,117
2020-12-02 16:02:50.185,21.9,24.5,117
2020-12-02 16:02:47.908,21.9,24.5,117
2020-12-02 16:02:45.630,21.9,24.5,116
2020-12-02 16:02:43.352,21.9,24.5,117
2020-12-02 16:02:41.075,22.0,24.5,117
2020-12-02 16:02:38.793,21.9,24.5,117
2020-12-02 16:02:36.515,21.9,24.5,117
2020-12-02 16:02:34.238,22.0,24.6,117
2020-12-02 16:02:31.960,21.9,24.5,117
2020-12-02 16:02:29.682,21.9,24.5,117
2020-12-02 16:02:27.405,21.9,24.5,117
2020-12-02 16:02:25.127,21.9,24.5,117
2020-12-02 16:02:22.845,21.9,24.5,117
2020-12-02 16:02:20.568,21.9,24.5,117
2020-12-02 16:02:18.290,21.9,24.5,117
2020-12-02 16:02:16.012,21.9,24.5,117
2020-12-02 16:02:13.735,21.9,24.5,117
2020-12-02 16:02:11.457,21.9,24.5,117
2020-12-02 16:02:09.175,21.9,24.6,117
2020-12-02 16:02:06.898,21.9,24.6,117
2020-12-02 16:02:04.620,21.8,24.5,117
2020-12-02 16:02:02.342,21.8,24.5,117
2020-12-02 16:02:00.065,21.8,24.5,117
2020-12-02 16:01:57.787,21.8,24.5,117
2020-12-02 16:01:55.505,21.8,24.5,117
2020-12-02 16:01:53.228,21.7,24.4,117
2020-12-02 16:01:50.950,21.7,24.4,117
2020-12-02 16:01:48.673,21.7,24.4,117
2020-12-02 16:01:46.395,21.7,24.4,117
2020-12-02 16:01:44.117,21.7,24.4,117
2020-12-02 16:01:41.835,21.7,24.4,117
2020-12-02 16:01:39.558,21.7,24.4,117
2020-12-02 16:01:37.280,21.7,24.4,117
2020-12-02 16:01:35.003,21.7,24.4,117
2020-12-02 16:01:32.725,21.7,24.4,117
2020-12-02 16:01:30.447,21.7,24.4,117
2020-12-02 16:01:28.166,21.7,24.4,117
2020-12-02 16:01:25.888,21.7,24.4,117
2020-12-02 16:01:23.610,21.7,24.4,117
2020-12-02 16:01:21.333,21.7,24.4,117
2020-12-02 16:01:19.055,21.7,24.4,117
2020-12-02 16:01:16.777,21.8,24.4,117
2020-12-02 16:01:14.496,21.8,24.4,117
2020-12-02 16:01:12.218,21.8,24.4,117
2020-12-02 16:01:09.940,21.8,24.4,117
2020-12-02 16:01:07.662,21.8,24.4,117
2020-12-02 16:01:05.385,21.8,24.4,117
2020-12-02 16:01:03.107,21.8,24.4,117
2020-12-02 16:01:00.825,21.8,24.4,117
2020-12-02 16:00:58.548,21.8,24.4,117
2020-12-02 16:00:56.270,21.9,24.5,117
2020-12-02 16:00:53.992,21.9,24.5,117
2020-12-02 16:00:51.715,21.9,24.5,117
2020-12-02 16:00:49.437,21.9,24.5,117
2020-12-02 16:00:47.159,21.9,24.5,117
2020-12-02 16:00:44.877,21.9,24.5,117
2020-12-02 16:00:42.600,21.9,24.5,118
2020-12-02 16:00:40.322,21.9,24.5,117
2020-12-02 16:00:38.044,21.9,24.5,117
2020-12-02 16:00:35.766,21.9,24.5,117
2020-12-02 16:00:33.489,21.9,24.5,117
2020-12-02 16:00:31.207,21.9,24.5,117
2020-12-02 16:00:28.929,21.9,24.5,117
2020-12-02 16:00:26.652,21.9,24.5,117
2020-12-02 16:00:24.374,21.9,24.5,117
2020-12-02 16:00:22.096,21.9,24.5,117
2020-12-02 16:00:19.819,21.8,24.5,117
2020-12-02 16:00:17.537,21.9,24.6,117
2020-12-02 16:00:15.259,21.8,24.5,117
2020-12-02 16:00:12.982,21.8,24.5,117
2020-12-02 16:00:10.704,21.7,24.4,117
2020-12-02 16:00:08.426,21.7,24.4,117
2020-12-02 16:00:06.149,21.7,24.4,117
2020-12-02 16:00:03.867,21.7,24.4,117
2020-12-02 16:00:01.589,21.6,24.4,117
2020-12-02 15:59:59.312,21.7,24.4,117
2020-12-02 15:59:57.034,21.6,24.4,117
2020-12-02 15:59:54.756,21.6,24.4,117
2020-12-02 15:59:52.479,21.6,24.4,117
2020-12-02 15:59:50.201,21.6,24.4,117
2020-12-02 15:59:47.919,21.6,24.4,117
2020-12-02 15:59:45.643,21.6,24.4,117
2020-12-02 15:59:43.365,21.6,24.3,117
2020-12-02 15:59:41.087,21.6,24.3,117
2020-12-02 15:59:38.810,21.6,24.3,117
2020-12-02 15:59:36.532,21.6,24.3,117
2020-12-02 15:59:34.254,21.6,24.3,117
2020-12-02 15:59:31.973,21.7,24.4,117
2020-12-02 15:59:29.695,21.7,24.4,117
2020-12-02 15:59:27.417,21.7,24.3,117
2020-12-02 15:59:25.140,21.7,24.3,117
2020-12-02 15:59:22.862,21.7,24.3,117
2020-12-02 15:59:20.584,21.7,24.3,117
2020-12-02 15:59:18.303,21.7,24.3,117
2020-12-02 15:59:16.025,21.7,24.3,117
2020-12-02 15:59:13.747,21.7,24.3,117
2020-12-02 15:59:11.470,21.8,24.4,117
2020-12-02 15:59:09.192,21.8,24.4,117
2020-12-02 15:59:06.914,21.8,24.4,117
2020-12-02 15:59:04.633,21.8,24.4,117
2020-12-02 15:59:02.355,21.8,24.4,117
2020-12-02 15:59:00.077,21.8,24.4,117
2020-12-02 15:58:57.800,21.8,24.4,117
2020-12-02 15:58:55.522,21.8,24.4,117
2020-12-02 15:58:53.244,21.8,24.4,117
2020-12-02 15:58:50.963,21.8,24.4,117
2020-12-02 15:58:48.685,21.8,24.4,117
2020-12-02 15:58:46.407,21.8,24.4,117
2020-12-02 15:58:44.129,21.8,24.4,117
2020-12-02 15:58:41.852,21.8,24.3,117
2020-12-02 15:58:39.574,21.8,24.3,117
2020-12-02 15:58:37.296,21.8,24.3,117
2020-12-02 15:58:35.015,21.8,24.3,113
2020-12-02 15:58:32.737,21.8,24.3,117
2020-12-02 15:58:30.459,21.8,24.4,117
2020-12-02 15:58:28.182,21.8,24.4,117
2020-12-02 15:58:25.904,21.8,24.4,117
2020-12-02 15:58:23.626,21.8,24.4,117
2020-12-02 15:58:21.345,21.8,24.4,117
2020-12-02 15:58:19.067,21.8,24.4,117
2020-12-02 15:58:16.789,21.8,24.4,117
2020-12-02 15:58:14.512,21.8,24.4,117
2020-12-02 15:58:12.234,21.8,24.4,118
2020-12-02 15:58:09.956,21.8,24.4,116
2020-12-02 15:58:07.675,21.8,24.4,117
2020-12-02 15:58:05.397,21.8,24.4,117
2020-12-02 15:58:03.119,21.8,24.4,117
2020-12-02 15:58:00.842,21.8,24.4,117
2020-12-02 15:57:58.564,21.7,24.3,117
2020-12-02 15:57:56.286,21.8,24.4,117
2020-12-02 15:57:54.005,21.8,24.4,117
2020-12-02 15:57:51.727,21.8,24.4,118
2020-12-02 15:57:49.449,21.8,24.4,117
2020-12-02 15:57:47.172,21.8,24.4,117
2020-12-02 15:57:44.894,21.8,24.4,117
2020-12-02 15:57:42.616,21.8,24.4,117
2020-12-02 15:57:40.335,21.8,24.4,117
2020-12-02 15:57:38.057,21.8,24.4,117
2020-12-02 15:57:35.779,21.8,24.4,117
2020-12-02 15:57:33.501,21.8,24.4,118
2020-12-02 15:57:31.224,21.8,24.4,117
2020-12-02 15:57:28.946,21.8,24.4,117
2020-12-02 15:57:26.668,21.8,24.4,117
2020-12-02 15:57:24.387,21.8,24.4,117
2020-12-02 15:57:22.109,21.9,24.4,117
2020-12-02 15:57:19.831,21.9,24.4,117
2020-12-02 15:57:17.554,21.9,24.4,117
2020-12-02 15:57:15.276,21.9,24.4,117
2020-12-02 15:57:12.994,21.9,24.4,117
2020-12-02 15:57:10.717,21.9,24.4,117
2020-12-02 15:57:08.439,21.9,24.4,117
2020-12-02 15:57:06.161,21.9,24.4,117
2020-12-02 15:57:03.884,21.9,24.4,118
2020-12-02 15:57:01.606,21.9,24.4,117
2020-12-02 15:56:59.324,21.9,24.4,117
2020-12-02 15:56:57.047,21.9,24.4,117
2020-12-02 15:56:54.769,22.0,24.4,117
2020-12-02 15:56:52.491,22.0,24.4,117
2020-12-02 15:56:50.214,22.0,24.5,117
2020-12-02 15:56:47.936,22.0,24.5,117
2020-12-02 15:56:45.654,22.0,24.5,119
2020-12-02 15:56:43.377,22.0,24.4,117
2020-12-02 15:56:41.099,22.0,24.4,117
2020-12-02 15:56:38.821,22.0,24.4,117
2020-12-02 15:56:36.544,22.0,24.4,118
2020-12-02 15:56:34.266,22.0,24.5,117
2020-12-02 15:56:31.988,22.0,24.5,117
2020-12-02 15:56:29.707,22.0,24.5,117
2020-12-02 15:56:27.429,22.0,24.5,116
2020-12-02 15:56:25.151,22.0,24.5,117
2020-12-02 15:56:22.874,22.0,24.5,117
2020-12-02 15:56:20.596,22.0,24.5,117
2020-12-02 15:56:18.318,22.0,24.5,117
2020-12-02 15:56:16.037,22.0,24.5,117
2020-12-02 15:56:13.759,21.9,24.5,117
2020-12-02 15:56:11.481,21.9,24.5,117
2020-12-02 15:56:09.204,21.9,24.5,117
2020-12-02 15:56:06.926,21.9,24.5,117
2020-12-02 15:56:04.648,21.9,24.5,117
2020-12-02 15:56:02.371,21.9,24.5,118
2020-12-02 15:56:00.089,21.9,24.5,117
2020-12-02 15:55:57.811,21.9,24.5,117
2020-12-02 15:55:55.534,21.9,24.5,117
2020-12-02 15:55:53.256,21.9,24.5,117
2020-12-02 15:55:50.978,21.9,24.5,117
2020-12-02 15:55:48.701,21.8,24.4,117
2020-12-02 15:55:46.419,21.8,24.4,117
2020-12-02 15:55:44.141,21.9,24.4,117
2020-12-02 15:55:41.864,21.9,24.4,117
2020-12-02 15:55:39.587,21.9,24.4,117
2020-12-02 15:55:37.309,21.8,24.3,117
2020-12-02 15:55:35.031,21.9,24.4,118
2020-12-02 15:55:32.750,21.9,24.4,117
2020-12-02 15:55:30.472,21.9,24.4,117
2020-12-02 15:55:28.194,21.9,24.4,117
2020-12-02 15:55:25.917,21.9,24.4,117
2020-12-02 15:55:23.639,21.9,24.4,117
